chapter,section,sub-section,question,options,correct-answer,note
4,,,"If you are feeling fatigued while driving, you should:","""a: Increase your speed to reach your destination more quickly.,b: Increase the volume of your radio.,c: Find a safe parking area to take a short nap.""","""c""","""Fatigue and drowsiness can affect your vision and increase reaction time to hazards. 'Find a safe parking area to take a short nap.'  is the only option that directly addresses the issue of fatigue."""
4,,,"When entering the interstate, check for a gap in traffic in the nearest lane, adjust your speed to match traffic, signal, and:","""a: Expect traffic to allow you to proceed into the lane,b: Merge carefully into the gap.,c: Wait for the lane to clear before merging.""","""b""","""The DMV handbook states that when entering a highway, you should 'Merge into highway traffic when safe to do so. Do not stop unless absolutely necessary.'"""
4,,,Fines in a construction zone are:,"""a: Doubled.,b: Tripled.,c: Cut in half.""","""a""","""The DMV handbook states on page 49, 'Fines are also doubled in highway construction or maintenance zones when workers are present.'"""
4,,,Parking is never permitted,"""a: In a crosshatched (diagonal) pattern space,b: In a bicycle lane unless otherwise posted,c: Twenty feet from a railroad track""","""a""","""According to page 28, 'Never park or leave your vehicle... In the crosshatched (diagonal lines) area next to a designated disabled parking space.'"""
4,,,You want to turn left at an upcoming corner. Yield the right-of-way to:,"""a: Oncoming vehicles also turning left.,b: All approaching vehicles.,c: Pedestrians on the sidewalk waiting for a \""Walk\"" signal.""","""b""","""When turning left, check for pedestrians. Give the right-of-way to any pedestrian or approaching vehicle that is close enough to be dangerous."""
4,,,You should signal at least 100 feet before you turn...,"""a: Before every lane change.,b: At least 5 seconds before you change lanes on a freeway.,c: None of the above.,d: both a and b""","""d""","""The text states, 'You should signal: At least 100 feet before you turn, Before every lane change., At least five seconds before you change lanes on a freeway.'"""
4,,,You see a signal person at a road construction site ahead. You should obey his or her instructions:,"""a: Only if you see orange cones on the road ahead.,b: Unless they conflict with existing signs,c: At all times.""","""c""","""On page 49, it is stated that 'Obey special signs or instructions from workers such as flaggers.'"""
4,,,"If you park facing uphill where there is no curb, set the parking brake and:","""a: Turn your wheels toward the edge of the road.,b: Turn your wheels away from the edge of the road.,c: Keep your wheels facing straight.""","""a""","""As quoted in the DMV handbook: 'Headed either uphill or downhill when there is no curb: Turn the wheels so the vehicle will roll away from the center of the road if the brakes fail. Downhill: turn the wheels toward the curb.'"""
4,,,Which of the following is not a safe driving practice when driving on the interstate?,"""a: Slower traffic must keep to the right.,b: Change lanes without signaling.,c: If you miss your exit""","""b""","""The DMV handbook states 'Stay in one lane as much as possible. Do not weave in and out of traffic. Last minute lane or direction changes may increase the risk of collisions.'  Changing lanes without signaling is not a safe driving practice, and it is not allowed on the interstate."""
4,,,When should you yield your legal right-of-way?,"""a: Often,b: Whenever it helps prevent collisions.,c: Never. It confuses other drivers.""","""b""","""The DMV handbook states, 'Give up your right-of-way when it will help prevent collisions.'"""
