chapter,section,sub-section,question,options,correct-answer,note
8,,,At a stop sign there is no stop line or crosswalk. You must stop,"""a: Before you enter the intersection,b: After you enter the intersection if you have a clear view of traffic on the intersecting roadway,c: At the next crosswalk""","""a""","""According to page 35 of the DMV handbook, 'Make a full stop before entering the crosswalk or at the limit line. If there is no limit line or crosswalk, stop before entering the intersection. Check traffic in all directions before proceeding.'"""
8,,,"When driving in fog, rain, or snow, use:","""a: Low beams.,b: High beams.,c: Fog lights only.""","""a""","""The DMV handbook states that 'When it is raining, use your low-beam headlights.'"""
8,,,Which of these vehicles must always stop before crossing railroad tracks?,"""a: Tank trucks with hazardous materials placards.,b: Motor homes or pickup trucks towing a boat trailer.,c: Sport utility vehicles carrying four or more persons.""","""a""","""According to page 50, 'Vehicles with these signs must stop before crossing railroad tracks.'"""
8,,,You can help keep the driver behind you a safe distance away from your vehicle by:,"""a: Driving 10 mph faster than the car behind you.,b: Driving 10 mph slower than the car behind you.,c: Maintaining a steady speed.""","""c""","""The DMV handbook states that 'Maintaining a steady speed' helps create space between your vehicle and the vehicle ahead."""
8,,,You should signal continuously while turning because it:,"""a: Is illegal to turn off your signal before completing a turn.,b: Lets other drivers know what your intentions are.,c: Is always unsafe to turn off a signal before completing a turn.""","""b""","""The DMV handbook states that you should signal when you turn because 'Always signal when you turn, change lanes, slow down, or stop. You can signal using your vehicle's signal lights or using hand-and-arm positions.'"""
8,,,Water on the road can cause a vehicle to hydroplane. Your car may hydroplane at speeds as low as:,"""a: 45 miles per hour.,b: 35 miles per hour.,c: 40 miles per hour.""","""b""","""Hydroplaning occurs when driving in wet or rainy conditions.  Hydroplaning is when a vehicle rides on water because the tires lose all contact with the road. A slight change of direction, applying the brakes, or a gust of wind could throw the vehicle into a skid.  To avoid hydroplaning: Drive slowly. Steer around standing water, if possible. Slow down if you hear sloshing sounds from the tires. Slow down when changing lanes or direction."""
8,,,You may drive off the paved roadway to pass another vehicle,"""a: If the shoulder is wide enough to accommodate your vehicle,b: If the vehicle ahead of you is turning left,c: Under no circumstances""","""c""","""According to the DMV Handbook, 'Never drive off the paved or main-traveled part of the road to pass.'"""
8,,,Which child requires a child restraint system?,"""a: A six-year old who is 4 feet 10 inches tall,b: A seven-year old who is 4 feet 7 inches tall,c: An eight-year old who is 4 feet 9 inches tall""","""b""","""According to the DMV handbook, 'Children who are under 8 years old, or who are less than 4 feet 9 inches tall: Secure in a child passenger restraint system in a rear seat.'"""
8,,,"When parking on a hill on a two-way street with no curb, you should:","""a: Turn your front wheels to the left away from the side of the road.,b: Park at a slight angle with rear wheels closer to the road's edge.,c: Turn your front wheels to the right toward the side of the road.""","""c""","""To prevent your vehicle from rolling into traffic if the brakes fail, you should turn your front wheels to the right, toward the side of the road.  'Turn the wheels so the vehicle will roll away from the center of the road if the brakes fail. Downhill: turn the wheels toward the curb.' """
8,,,"If you come to a railroad crossing with lowered gates and flashing warning lights, you should:","""a: Drive around the crossing gates if you can't see a train.,b: Come to a complete stop well behind the gates,c: Slow down and drive around the gates.""","""b""","""When the crossing devices or a person warns you a train is coming, stop at least 15 feet from the nearest track."""
