chapter,section,sub-section,question,options,correct-answer,note
1,,,"If pedestrians are illegally crossing in the middle of the street instead of in a crosswalk, you:","""a: Must stop for them.,b: Do not have to stop for them.,c: Should honk your horn at them.""","""a""","""Even though they are crossing illegally, you must still stop for them.  'When there is a pedestrian crossing a roadway with or without a crosswalk, you **must** use caution, reduce your speed, or stop to allow the pedestrian to safely finish crossing.'"""
1,,,"To make a right turn onto a two-way street from a two-way street, start in the right-hand lane and end in","""a: Any lane that is available,b: The left lane,c: The lane closest to the curb""","""c""","""According to page 20, 'To make a right turn: Drive close to the right edge of the road... Complete your turn in the right lane. Do not turn wide into another lane.'"""
1,,,Which of the following roadways freeze first when wet?,"""a: Bridges and overpasses,b: Intersections,c: Tunnels""","""a""","""Bridges and overpasses tend to freeze before the rest of the road because they can have icy spots."""
1,,,"When following a motorcycle, drivers must remember that motorcycles can ____________ than other vehicles.","""a: Accelerate much faster,b: Stop much more quickly,c: Stop much more slowly""","""b""","""According to the DMV handbook on page 44, 'Allow a safe three-second following distance. This space will help you avoid hitting a motorcyclist if they brake suddenly or fall.'"""
1,,,It is against the law to enter an intersection when:,"""a: You can't get all the way across before the light turns red.,b: The light is flashing yellow and you didn't stop first.,c: The light is yellow and you cannot stop safely.""","""a""","""According to the DMV handbook on page 34, 'Do not enter the intersection if you cannot get completely across before the traffic signal light turns red.'"""
1,,,In which lane should you end your turn when making a right turn?,"""a: Any lane free of traffic.,b: The lane closest to the left edge of the road.,c: The lane closest to the right edge of the road.""","""c""","""To make a right turn, you should end your turn in the lane closest to the right edge of the road. 'Do not swing wide into another lane of traffic.'"""
1,,,"If you are feeling fatigued while driving, you should:","""a: Increase your speed to reach your destination more quickly.,b: Increase the volume of your radio.,c: Find a safe parking area to take a short nap.""","""c""","""Fatigue and drowsiness can affect your vision and increase reaction time to hazards. 'Find a safe parking area to take a short nap.'  is the only option that directly addresses the issue of fatigue."""
1,,,What do pennant-shaped signs indicate?,"""a: A school crossing,b: A No Passing Zone,c: Yield""","b""","""Pennant-shaped signs are no-passing zone signs. They are yellow with black lettering and are placed on the left side of two-way roads to warn drivers that passing is not safe in that area."""
1,,,"If you are driving and the rear end of your car starts skidding to the left, you should:","""a: Steer to the right.,b: Steer to the left.,c: Tap your brakes lightly and shift into neutral.""","""b""","""To get out of a skid, you should steer in the direction of the skid. 'If you start to skid, follow these steps: 1. Slowly remove your foot from the accelerator. 2. Do not use the brakes. 3. Turn the steering wheel in the direction of the skid. 4. Try to get a wheel on dry pavement.'"""
1,,,To avoid glare from the headlights of an approaching car:,"""a: Look briefly toward the right side of the road.,b: Stay focused on the centerline on the road.,c: Flash your high beams.""","""a""","""To avoid glare from the headlights of an approaching car, the DMV handbook states on page 59, 'Do not look directly into the oncoming headlights...Look toward the right edge of your lane...Do not react to the other driver by keeping your high-beam headlights on.'"""
