chapter,section,sub-section,question,options,correct-answer,note
3,,,Which of these is considered a common cause of collision?,"""a: Unsafe speed,b: Not following stop signs signals and signs,c: All the above""","""c""","""The DMV handbook lists 'Unsafe speed', 'Improper turns', 'Not following the right-of-way rules', 'Not following stop signals and signs', 'Driving on the wrong side of the road', 'A vehicle traveling faster or slower than the flow of traffic' as common causes of collisions. Therefore, 'all the above' is the correct answer."""
3,,,Excessive speed:,"""a: Saves time so you can get to your destination more quickly.,b: Helps you maneuver around obstacles.,c: Increases the likelihood of serious bodily injury and death.""","""c""","""Excessive speed is a main cause of collisions, which could result in death or serious injury. 'The most common causes of collisions are: Driver distractions. Unsafe speed. Improper turns. Not following the right-of-way rules. Not following stop signals and signs. Driving on the wrong side of the road. A vehicle traveling faster or slower than the flow of traffic.'"""
3,,,"When driving at night with no other vehicles ahead, a driver should use","""a: High beam lights,b: Low-beam lights,c: Parking lights""","""a""","""When driving at night with no other vehicles ahead, a driver should use high-beam headlights. 'When driving at night, use your high-beam headlights on open country roads or dark city streets.'"""
3,,,"Any driver who willfully flees or attempts to evade law enforcement, during which a person is seriously injured, is subject to:","""a: Imprisonment in a state prison for up to seven years.,b: A fine of less than $1000.,c: Attending an anger-management class.""","""a""","""The DMV handbook states, 'A person convicted of causing serious bodily injury during a law enforcement pursuit is subject to imprisonment in a state prison for up to seven years, or a county jail for one year or less.'"""
3,,,You should not start across an intersection if you know you will...,"""a: Block the intersection when the light turns red.,b: Unless you enter the intersection on a yellow light.,c: Unless you enter the intersection on a green light.,d: None of the above""","""a""","""The DMV handbook states on page 39: 'It is against the law to stop or block an intersection where there is not enough space to completely cross before the traffic signal light turns red.'"""
3,,,You should use your turn signals...,"""a: When changing lanes or merging into traffic.,b: When turning left or right.,c: Both of the above.,d: None of the above""","""c""","""The DMV Handbook states that you should 'Always signal when you turn, change lanes, slow down, or stop.'  This includes both turning left or right and changing lanes or merging."""
3,,,"If you see orange construction signs and cones on a freeway, you must","""a: Slow down because the road ends,b: Be prepared for workers and slow moving equipment,c: Change lanes and maintain speed""","""b""","""You will see warning signs and message boards when there are workers, slow-moving equipment, and closed lanes ahead.  Go through the work zone carefully by: Slowing down, Allowing extra space between vehicles, Expecting sudden slowing or stopping, Watching for drivers changing lanes, Avoiding distractions."""
3,,,"If pedestrians are illegally crossing in the middle of the street instead of in a crosswalk, you:","""a: Must stop for them.,b: Do not have to stop for them.,c: Should honk your horn at them.""","""a""","""Even though they are crossing illegally, you must still stop for them.  'When there is a pedestrian crossing a roadway with or without a crosswalk, you **must** use caution, reduce your speed, or stop to allow the pedestrian to safely finish crossing.'"""
3,,,You are driving on the freeway and need to exit. You should:,"""a: Use your turn signal and move into the exit lane,b: Exit immediately without signaling,c: Accelerate into the exit lane,d: None of the above""","""a""","""To exit a highway safely, you should know your exit and be aware of when it is approaching. If you plan to change lanes, do so one at a time. Signal and look over your shoulder to check your blind spots. When in the proper lane, signal five seconds (approximately 400 feet) before you exit."""
3,,,How can you prevent fatigue on a long trip?,"""a: Get enough sleep,b: Plan to drive long trips with a companion,c: All of the above""","""c""","""Page 9 of the DMV handbook states 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'"""
3,,,What color curb does not allow vehicles to stop or park?,"""a: Yellow.,b: Red.,c: White.""","""b""","""According to the DMV handbook, 'Red: No stopping, standing, or parking.'"""
3,,,"If you become sleepy while driving, it is best to","""a: Increase your speed to get away from other vehicles,b: Move over to the right lane and continue driving,c: Drive to a safe place stop and rest""","""c""","""It is stated on page 9 that 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.' The best solution is to 'Drive to a safe place, stop and rest.'"""
3,,,Temporary signs used in construction and maintenance work areas:,"""a: Have a red background with green writing.,b: Have an orange background with black writing.,c: Have a yellow background with blue writing.""","""b""","""The DMV handbook states on Page 36 that 'Diamond-Shaped Sign Warns you of specific road conditions and dangers ahead.'"""
3,,,What happens if you do not signal when required?,"""a: You may get a ticket,b: You may cause an accident,c: All of the above""","""c""","""The DMV handbook states that it is important to signal when making a turn, changing lanes, slowing down, or stopping, and that failing to do so could result in a ticket or cause an accident. The correct answer is all of the above."""
3,,,You are driving behind a motorcycle and want to pass. You must:,"""a: Stay in the right lane as much as possible because the motorcycle is small and doesn't use all of the lane.,b: Blow your horn to make the motorcycle move onto the shoulder so that you can pass.,c: Have your vehicle entirely in the left lane before and during the pass.""","""c""","""To safely pass a motorcycle that is in the travel lane you may need to change to another lane. In this case, pass safely then return to your original lane. Leave space between your vehicle and the bicyclist."""
3,,,"If it feels like your tires have lost contact with the surface of the road, you should:","""a: Slow down by shifting into a lower gear.,b: Ease your foot off the gas pedal.,c: Slow down by pumping the brakes quickly and firmly.""","""b""","""The DMV handbook states, 'If your vehicle starts to hydroplane: Slow down gradually. Do not use the brakes. Sudden braking may cause you to lose control of your vehicle.'"""
3,,,Parallel parking is when the,"""a: Front wheels are turned toward the street,b: Vehicle is in line with other parked vehicles,c: Rear wheels are touching the curb""","""b""","""Parallel parking is defined as parking 'in line with the road and other parked vehicles'.  The DMV handbook states that on page 26: 'Parallel parking is when you park in line with the road and other parked vehicles.'"""
