chapter,section,sub-section,question,options,correct-answer,note
7,,,"When passing, you should move back into the right lane when:","""a: You are one vehicle length ahead of the passed vehicle.,b: You can see both headlights of the passed vehicle in your rearview mirror.,c: You are 50 feet ahead of the passed vehicle.""","""b""","""According to the DMV Handbook, you should move back into the right lane when you can see both headlights of the passed vehicle in your rearview mirror. 'Signal and return to your original lane.'"""
7,,,Which of these statements is true about roadwork zones?,"""a: Fines are the same for violations committed in work zones as they are under normal traffic conditions.,b: You must ‘Slow for the Cone Zone’,c: Slow down only if you think workers are present.""","""b""","""The DMV Handbook states that drivers should 'Slow for the Cone Zone.' (page 49)"""
7,,,A safety zone is a specially marked area for passengers to get on or off buses or trolleys. You may not drive through a safety zone:,"""a: Only when a bus or trolley is present.,b: Only when a bus or trolley is unloading passengers.,c: At any time or for any reason.""","""c""","""The DMV handbook states 'Safety zones are spaces set aside for pedestrians waiting for buses, streetcars, and trolleys. Safety zones are marked by raised buttons or markers on a road. Do not drive through a safety zone under any condition.'"""
7,,,"At an intersection with stop signs at all four (or more) corners, when two cars arrive at the same time you must yield the right-of-way to the driver","""a: On your right,b: On your left,c: Signaling a turn""","""a""","""The DMV handbook states: 'If a vehicle, pedestrian, or bicyclist gets to the intersection at the same time as you, give the right-of-way to the vehicle, pedestrian, or bicyclist on your right.'"""
7,,,Which of these vehicles must always stop before crossing railroad tracks?,"""a: Tank trucks with hazardous materials placards.,b: Motor homes or pickup trucks towing a boat trailer.,c: Sport utility vehicles carrying four or more persons.""","""a""","""According to page 50, 'Vehicles with these signs must stop before crossing railroad tracks.'"""
7,,,When is it required for you to obey directions from a crossing guard?,"""a: At all times.,b: During school hours only.,c: Only when children are present in front of a school.""","""a""","""The DMV handbook states that you should 'Be sure to obey their directions at all times.' when referring to school safety patrols or crossing guards."""
7,,,ABS is the acronym for,"""a: Anti-lock Brake System,b: Anti-Braking System,c: Asphalt-Braking System""","""a""","""On page 60 of The DMV handbook, it states: 'To get out of a locked wheel skid if your vehicle is equipped with: Four-wheel antilock braking system (ABS), apply firm pressure on the brake pedal.'"""
7,,,You are getting ready to make a right turn. You should:,"""a: Signal and turn immediately.,b: Stop before entering the right lane and let all other traffic go first.,c: Slow down or stop""","""c""","""To make a right turn, drive close to the right edge of the road. If a designated right turn lane is available, enter at the opening.  Start signaling about 100 feet before the turn. Look over your right shoulder and reduce your speed. Stop behind the limit line. If there is no limit line, stop before you enter the crosswalk. If there is no crosswalk, stop before you enter the intersection."""
7,,,Interstate driving requires drivers to:,"""a: Have the ability to safely drive at increased speeds.,b: Be constantly alert.,c: Both of the above.""","""c""","""Interstate driving requires drivers to 'Be aware of your surroundings' and  'Manage your speed' which are both required to drive safely at increased speeds. The DMV handbook provides the following in the section 'Be Aware Of Your Surroundings' on Page 57:  'To drive safely, you need to know what is around you. This helps you make good decisions and react to hazards on the road.'"""
7,,,"When preparing to make a left turn from a two-way street, you should drive:","""a: Near the right-hand side of the road.,b: Near the centerline.,c: On the left of the centerline.""","""b""","""To make a left turn, you should drive 'close to the center divider or into the left turn lane.'"""
7,,,What should you do if a pedestrian is still in the crosswalk after the 'DON'T WALK' sign begins to flash and your light has turned green?,"""a: Wait until the pedestrian is out of your path before proceeding.,b: Wait until the pedestrian signals that it is okay for you to proceed.,c: Wait until the pedestrian has crossed the street completely before proceeding.""","""a""","""Even if the 'DON'T WALK' sign is flashing and your light has turned green, you must yield to pedestrians in the crosswalk. The DMV handbook states, 'Drivers must yield to pedestrians, even if the DON'T WALK light is flashing.'"""
7,,,Various traffic control devices in construction and maintenance work areas are the color:,"""a: Red.,b: Orange.,c: Yellow.""","""b""","""Traffic control devices in construction and maintenance work areas are typically orange. The DMV Handbook states:'Highway Construction and Maintenance Signs'. The signs shown in the image have black lettering and symbols on an orange background."""
